UTM_X	UTM_Y
708.3	-1406.5
705.5	-1401.1
702.7	-1395.7
700.0	-1390.2
697.2	-1384.8
694.4	-1379.4
691.7	-1373.9
688.9	-1368.5
686.2	-1363.1
683.4	-1357.7
680.6	-1352.2
677.9	-1346.8
675.1	-1341.4
672.3	-1335.9
669.6	-1330.5
666.8	-1325.1
664.1	-1319.7
661.3	-1314.2
658.5	-1308.8
655.8	-1303.4
653.0	-1298.0
650.2	-1292.5
647.5	-1287.1
644.7	-1281.7
642.0	-1276.2
639.2	-1270.8
636.4	-1265.4
633.7	-1260.0
630.9	-1254.5
628.2	-1249.1
625.4	-1243.7
622.6	-1238.2
619.9	-1232.8
617.1	-1227.4
614.3	-1222.0
611.6	-1216.5
608.8	-1211.1
606.1	-1205.7
603.3	-1200.3
600.5	-1194.8
597.8	-1189.4
595.0	-1184.0
592.2	-1178.5
589.5	-1173.1
586.7	-1167.7
584.0	-1162.3
581.2	-1156.8
578.4	-1151.4
575.7	-1146.0
572.9	-1140.5
570.1	-1135.1
567.4	-1129.7
564.6	-1124.3
561.9	-1118.8
559.1	-1113.4
556.3	-1108.0
553.6	-1102.6
550.8	-1097.1
548.0	-1091.7
545.3	-1086.3
542.5	-1080.8
539.8	-1075.4
537.0	-1070.0
534.2	-1064.6
531.5	-1059.1
528.7	-1053.7
525.9	-1048.3
523.2	-1042.8
520.4	-1037.4
517.7	-1032.0
514.9	-1026.6
512.1	-1021.1
509.4	-1015.7
506.6	-1010.3
503.9	-1004.9
501.1	-999.4
498.3	-994.0
495.6	-988.6
492.8	-983.1
490.0	-977.7
487.3	-972.3
484.5	-966.9
481.8	-961.4
479.0	-956.0
476.2	-950.6
473.5	-945.1
470.7	-939.7
467.9	-934.3
465.2	-928.9
462.4	-923.4
459.7	-918.0
456.9	-912.6
454.1	-907.2
451.4	-901.7
448.6	-896.3
445.8	-890.9
443.1	-885.4
440.3	-880.0
437.6	-874.6
434.8	-869.2
432.0	-863.7
429.3	-858.3
426.5	-852.9
423.7	-847.4
421.0	-842.0
418.2	-836.6
415.5	-831.2
412.7	-825.7
409.9	-820.3
407.2	-814.9
404.4	-809.4
401.6	-804.0
398.9	-798.6
396.1	-793.2
393.4	-787.7
390.6	-782.3
387.8	-776.9
385.1	-771.5
382.3	-766.0
379.6	-760.6
376.8	-755.2
374.0	-749.7
371.3	-744.3
368.5	-738.9
365.7	-733.5
363.0	-728.0
360.2	-722.6
357.5	-717.2
354.7	-711.7
351.9	-706.3
349.2	-700.9
346.4	-695.5
343.6	-690.0
340.9	-684.6
338.1	-679.2
335.4	-673.8
332.6	-668.3
329.8	-662.9
327.1	-657.5
324.3	-652.0
321.5	-646.6
318.8	-641.2
316.0	-635.8
313.3	-630.3
310.5	-624.9
307.7	-619.5
305.0	-614.0
302.2	-608.6
299.4	-603.2
296.7	-597.8
293.9	-592.3
291.2	-586.9
288.4	-581.5
285.6	-576.1
282.9	-570.6
280.1	-565.2
277.3	-559.8
274.6	-554.3
271.8	-548.9
269.1	-543.5
266.3	-538.1
263.5	-532.6
260.8	-527.2
258.0	-521.8
255.3	-516.3
252.5	-510.9
249.7	-505.5
247.0	-500.1
244.2	-494.6
241.4	-489.2
238.7	-483.8
235.9	-478.4
233.2	-472.9
230.4	-467.5
227.6	-462.1
224.9	-456.6
222.1	-451.2
219.3	-445.8
216.6	-440.4
213.8	-434.9
211.1	-429.5
208.3	-424.1
205.5	-418.6
202.8	-413.2
200.0	-407.8
197.2	-402.4
194.5	-396.9
191.7	-391.5
189.0	-386.1
186.2	-380.7
183.4	-375.2
180.7	-369.8
177.9	-364.4
175.1	-358.9
172.4	-353.5
169.6	-348.1
166.9	-342.7
164.1	-337.2
161.3	-331.8
158.6	-326.4
155.8	-320.9
153.0	-315.5
150.3	-310.1
147.5	-304.7
144.8	-299.2
142.0	-293.8
139.2	-288.4
136.5	-283.0
133.7	-277.5
130.9	-272.1
128.2	-266.7
125.4	-261.2
122.7	-255.8
119.9	-250.4
117.1	-245.0
114.4	-239.5
111.6	-234.1
108.9	-228.7
106.1	-223.2
103.3	-217.8
100.6	-212.4
97.8	-207.0
95.0	-201.5
92.3	-196.1
89.5	-190.7
86.8	-185.3
84.0	-179.8
81.2	-174.4
78.5	-169.0
75.7	-163.5
72.9	-158.1
70.2	-152.7
67.4	-147.3
64.7	-141.8
61.9	-136.4
59.1	-131.0
56.4	-125.5
53.6	-120.1
50.8	-114.7
48.1	-109.3
45.3	-103.8
42.6	-98.4
39.8	-93.0
37.0	-87.5
34.3	-82.1
31.5	-76.7
28.7	-71.3
26.0	-65.8
23.2	-60.4
20.5	-55.0
17.7	-49.6
14.9	-44.1
12.2	-38.7
9.4	-33.3
6.6	-27.8
3.9	-22.4
1.1	-17.0
-1.6	-11.6
-2.0	4.1
-3.7	9.9
-5.3	15.7
-6.9	21.5
-8.5	27.3
-10.1	33.1
-11.7	38.9
-13.3	44.7
-14.9	50.5
-16.5	56.2
-18.1	62.0
-19.7	67.8
-21.4	73.6
-23.0	79.4
-24.6	85.2
-26.2	91.0
-27.8	96.8
-29.4	102.6
-31.0	108.4
-32.6	114.1
-34.2	119.9
-35.8	125.7
-37.5	131.5
-39.1	137.3
-40.7	143.1
-42.3	148.9
-43.9	154.7
-45.5	160.5
-47.1	166.3
-48.7	172.0
-50.3	177.8
-51.9	183.6
-53.5	189.4
-55.2	195.2
-56.8	201.0
-58.4	206.8
-60.0	212.6
-61.6	218.4
-63.2	224.2
-64.8	229.9
-66.4	235.7
-68.0	241.5
-69.6	247.3
-71.2	253.1
-72.9	258.9
-74.5	264.7
-76.1	270.5
-77.7	276.3
-79.3	282.0
-80.9	287.8
-82.5	293.6
-84.1	299.4
-85.7	305.2
-87.3	311.0
